job_id	extension_id	method	coefficient_type	number	timing_user	timing_system	timing_elapsed
63996934	cc7ca	DESeq2	Cont	4	367.904	12.967	325.332
63996934	cc7ca	glm_gp overdispersion = 0	Cont	5	85.227	1.389	45.058
63996934	cc7ca	glm_gp	Cont	5	132.07	2.221	86.754
63996934	cc7ca	glm_gp on disk	Cont	5	165.953	4.107	123.151
63996934	cc7ca	DESeq2 with glmGamPoi	Cont	5	183.231	4.924	161.617
63996934	cc7ca	edgeR	Cont	5	418.317	3.155	228.702
63996934	cc7ca	DESeq2	Cont	5	436.065	17.338	369.12
63996934	cc7ca	glm_gp overdispersion = 0	Cont	6	96.547	1.574	50.779
63996934	cc7ca	glm_gp	Cont	6	154.448	2.325	100.565
63996934	cc7ca	glm_gp on disk	Cont	6	187.415	4.714	137.016
63996934	cc7ca	DESeq2 with glmGamPoi	Cont	6	204.847	5.544	176.654
63996934	cc7ca	edgeR	Cont	6	466.219	3.162	256.24
63996934	cc7ca	DESeq2	Cont	6	525.149	24.782	426.483
63996934	cc7ca	glm_gp overdispersion = 0	Cont	7	111.933	1.837	58.615
63996934	cc7ca	glm_gp	Cont	7	186.365	2.597	122.443
63996934	cc7ca	glm_gp on disk	Cont	7	220.568	4.393	158.824
63996934	cc7ca	DESeq2 with glmGamPoi	Cont	7	227.744	5.812	194.189
63996934	cc7ca	edgeR	Cont	7	491.452	3.35	272.536
63996934	cc7ca	DESeq2	Cont	7	642.821	35.485	501.613
63996935	a3bf7	glm_gp overdispersion = 0	Cat	1	5.44	0.202	5.594
63996935	a3bf7	glm_gp	Cat	1	18.185	0.317	17.782
63996935	a3bf7	glm_gp on disk	Cat	1	42.54	0.607	42.415
63996935	a3bf7	DESeq2 with glmGamPoi	Cat	1	25.199	0.335	25.509
63996935	a3bf7	edgeR	Cat	1	93.353	0.544	93.923
63996935	a3bf7	DESeq2	Cat	1	196.84	0.9	197.738
63996935	a3bf7	glm_gp overdispersion = 0	Cat	2	4.704	0.191	4.834
63996935	a3bf7	glm_gp	Cat	2	19.282	0.407	18.977
63996935	a3bf7	glm_gp on disk	Cat	2	48.463	0.665	48.372
63996935	a3bf7	DESeq2 with glmGamPoi	Cat	2	37.353	0.914	38.187
63996935	a3bf7	edgeR	Cat	2	153.093	0.532	105.751
63996935	a3bf7	DESeq2	Cat	2	223.334	1.029	224.31
63996935	a3bf7	glm_gp overdispersion = 0	Cat	3	4.807	0.165	4.911
63996935	a3bf7	glm_gp	Cat	3	22.439	0.288	22.288
63996935	a3bf7	glm_gp on disk	Cat	3	55.745	0.827	56.1
63996935	a3bf7	DESeq2 with glmGamPoi	Cat	3	60.806	0.752	45.513
63996935	a3bf7	edgeR	Cat	3	154.76	0.674	106.014
63996935	a3bf7	DESeq2	Cat	3	265.758	1.117	249.331
63996935	a3bf7	glm_gp overdispersion = 0	Cat	4	79.368	0.597	41.425
63996935	a3bf7	glm_gp	Cat	4	104.159	0.976	61.964
63996935	a3bf7	glm_gp on disk	Cat	4	132.791	1.568	91.943
63996935	a3bf7	DESeq2 with glmGamPoi	Cat	4	86.601	1.249	60.375
63996935	a3bf7	edgeR	Cat	4	369.336	0.925	189.931
63996935	a3bf7	DESeq2	Cat	4	220.555	1.253	190.371
63996935	a3bf7	glm_gp overdispersion = 0	Cat	5	93.436	0.826	48.572
63996935	a3bf7	glm_gp	Cat	5	123.382	1.248	73.242
63996935	a3bf7	glm_gp on disk	Cat	5	152.326	1.789	103.637
63996935	a3bf7	DESeq2 with glmGamPoi	Cat	5	97.418	1.353	67.802
63996935	a3bf7	edgeR	Cat	5	418.787	1.016	214.028
63996935	a3bf7	DESeq2	Cat	5	339.403	3.212	257.741
63996935	a3bf7	glm_gp overdispersion = 0	Cat	6	97.817	1.063	50.792
63996935	a3bf7	glm_gp	Cat	6	132.376	1.388	78.28
63996935	a3bf7	glm_gp on disk	Cat	6	164.696	2.023	111.252
63996935	a3bf7	DESeq2 with glmGamPoi	Cat	6	115.759	1.559	79.793
63996935	a3bf7	edgeR	Cat	6	456.44	1.336	234.579
